,Nome,Sobrenome,Sexo,CPF,Idade,ID_Produto,Produto,Quantidade,Valor_Unitario,Total_Compra,Imposto_Produto,Cidade,Estado,Pais,Data,Forma_Pagamento
38,Arthur,Correia,Masculino,471.503.629-07,40,01,Notebook,3,3500.0,10500.0,1050.0,Borges do Amparo,MS,Brasil,2024-08-03,Especie
39,Lucca,Garcia,Masculino,482.756.013-71,31,06,Teclado,3,200.0,600.0,60.0,Sá,BA,Brasil,2024-12-17,Credito
40,Mariah,Fonseca,Feminino,423.978.601-04,33,03,Tablet,1,3000.0,3000.0,300.0,Pereira,AL,Brasil,2024-07-24,PIX
41,Carolina,Leão,Feminino,840.519.762-11,56,08,HeadSet,2,250.0,500.0,50.0,Fernandes,RJ,Brasil,2024-04-11,PIX
42,Stephany,Aragão,Feminino,572.346.091-99,22,08,HeadSet,1,250.0,250.0,25.0,Carvalho do Oeste,RS,Brasil,2024-05-27,Credito
43,Amanda,Albuquerque,Feminino,419.678.032-69,38,03,Tablet,1,3000.0,3000.0,300.0,Novais,RS,Brasil,2024-07-18,PIX
44,João Lucas,Gomes,Masculino,493.062.518-15,30,03,Tablet,3,3000.0,9000.0,900.0,Aparecida Paulista,PB,Brasil,2024-09-27,Credito
45,Leonardo,Rezende,Masculino,349.628.017-40,26,05,Monitor,3,950.0,2850.0,285.0,Leão das Flores,MG,Brasil,2024-06-15,Credito
46,Antônio,Araújo,Masculino,863.094.571-01,32,07,Mouse,2,80.0,160.0,16.0,da Rocha,PA,Brasil,2024-01-01,Debito
47,Lívia,Pimenta,Feminino,871.250.436-07,57,03,Tablet,1,3000.0,3000.0,300.0,Azevedo,AP,Brasil,2024-04-25,PIX
48,Benjamin,Ribeiro,Masculino,413.870.962-22,29,09,Cadeira Gamer,1,900.0,900.0,90.0,Pereira,TO,Brasil,2024-10-02,Especie
49,Davi,Guerra,Masculino,620.975.318-30,39,06,Teclado,2,200.0,400.0,40.0,da Rocha,PI,Brasil,2024-05-12,PIX
50,Luigi,Moreira,Masculino,075.361.289-59,24,07,Mouse,2,80.0,160.0,16.0,Silveira da Prata,RS,Brasil,2024-04-20,PIX
51,Felipe,Souza,Masculino,160.485.293-33,50,02,Smartphone,1,2000.0,2000.0,200.0,Aparecida,AM,Brasil,2024-03-27,Credito
52,Heloísa,Oliveira,Feminino,617.058.243-07,35,10,Suporte Monitor,2,150.0,300.0,30.0,da Conceição do Oeste,AL,Brasil,2024-11-16,Credito
53,Luigi,Peixoto,Masculino,615.372.894-46,53,10,Suporte Monitor,3,150.0,450.0,45.0,Teixeira,GO,Brasil,2024-01-22,Especie
54,Vinicius,Freitas,Masculino,941.723.508-79,42,09,Cadeira Gamer,3,900.0,2700.0,270.0,das Neves,TO,Brasil,2024-07-23,PIX
55,Mathias,Farias,Masculino,573.086.149-48,46,10,Suporte Monitor,2,150.0,300.0,30.0,Barbosa da Mata,PI,Brasil,2024-01-19,PIX
56,Alice,da Conceição,Feminino,570.169.238-86,18,08,HeadSet,2,250.0,500.0,50.0,Cardoso,SP,Brasil,2024-07-03,Especie
57,Henrique,Melo,Masculino,047.628.913-04,41,05,Monitor,2,950.0,1900.0,190.0,Leão,MG,Brasil,2024-02-10,PIX
58,Luiz Fernando,Azevedo,Masculino,560.327.189-21,30,08,HeadSet,1,250.0,250.0,25.0,Azevedo,AL,Brasil,2024-09-12,Debito
59,Eduarda,Ramos,Feminino,167.908.342-22,51,09,Cadeira Gamer,2,900.0,1800.0,180.0,Silveira das Flores,PA,Brasil,2024-06-24,Credito
60,Thales,Cardoso,Masculino,532.791.408-97,34,02,Smartphone,1,2000.0,2000.0,200.0,Freitas Grande,MS,Brasil,2024-02-29,Credito
61,Lívia,Monteiro,Feminino,107.532.684-26,37,10,Suporte Monitor,3,150.0,450.0,45.0,Monteiro,PE,Brasil,2024-11-04,Debito
62,Lívia,Dias,Feminino,543.907.682-47,47,02,Smartphone,1,2000.0,2000.0,200.0,Pinto,MA,Brasil,2024-11-26,PIX
63,Francisco,Cavalcante,Masculino,421.970.583-04,43,08,HeadSet,1,250.0,250.0,25.0,Abreu das Pedras,MA,Brasil,2024-11-28,Credito
64,Henrique,Gonçalves,Masculino,179.425.380-79,25,04,Impressora,2,800.0,1600.0,160.0,Farias de Rodrigues,AP,Brasil,2024-04-28,Debito
65,Yasmin,Sales,Feminino,147.830.526-62,31,06,Teclado,3,200.0,600.0,60.0,Marques,RN,Brasil,2024-06-03,PIX
66,Lorena,Casa Grande,Feminino,684.329.150-33,25,05,Monitor,2,950.0,1900.0,190.0,Melo de Goiás,RO,Brasil,2024-01-11,Debito
67,Luiz Henrique,Fogaça,Masculino,850.367.149-20,37,07,Mouse,3,80.0,240.0,24.0,Moraes da Serra,AP,Brasil,2024-10-31,Especie
68,Cecília,Silva,Feminino,254.819.073-05,35,01,Notebook,1,3500.0,3500.0,350.0,Teixeira Verde,RJ,Brasil,2024-01-14,PIX
69,Manuella,da Luz,Feminino,458.097.236-83,19,09,Cadeira Gamer,1,900.0,900.0,90.0,Nunes de Castro,PI,Brasil,2024-03-17,Especie
70,João Miguel,Gomes,Masculino,578.019.436-00,23,07,Mouse,1,80.0,80.0,8.0,Pinto Alegre,MT,Brasil,2024-03-15,PIX
71,Ana Lívia,Camargo,Feminino,253.706.184-53,27,10,Suporte Monitor,3,150.0,450.0,45.0,Albuquerque,CE,Brasil,2024-08-07,Debito
72,Hellena,Alves,Feminino,450.789.613-48,24,01,Notebook,1,3500.0,3500.0,350.0,Camargo,AM,Brasil,2024-08-30,Debito
73,Dante,Barbosa,Masculino,704.396.852-65,23,01,Notebook,3,3500.0,10500.0,1050.0,Rezende Verde,PR,Brasil,2024-10-02,Debito
74,Oliver,Abreu,Masculino,635.218.407-35,24,08,HeadSet,3,250.0,750.0,75.0,Marques da Serra,AL,Brasil,2024-01-04,Especie
75,Luna,Garcia,Feminino,328.740.196-31,19,08,HeadSet,2,250.0,500.0,50.0,Sá,PI,Brasil,2024-09-09,PIX
76,Alice,Porto,Feminino,617.385.240-35,40,03,Tablet,2,3000.0,6000.0,600.0,Correia,MA,Brasil,2024-12-01,Especie
77,Alícia,Vargas,Feminino,078.354.129-50,48,10,Suporte Monitor,1,150.0,150.0,15.0,Pastor,TO,Brasil,2024-03-02,Debito
78,Leandro,Gonçalves,Masculino,402.375.869-83,51,09,Cadeira Gamer,3,900.0,2700.0,270.0,Cirino,PI,Brasil,2024-02-28,PIX
79,Allana,Fonseca,Feminino,592.018.467-11,23,09,Cadeira Gamer,2,900.0,1800.0,180.0,Farias do Sul,MT,Brasil,2024-05-18,Credito
80,Luna,Câmara,Feminino,307.945.816-84,56,01,Notebook,1,3500.0,3500.0,350.0,Leão Alegre,MT,Brasil,2024-06-27,Credito
81,Isadora,Aparecida,Feminino,816.539.470-39,22,04,Impressora,3,800.0,2400.0,240.0,Sousa,SE,Brasil,2024-01-06,Credito
82,Maria Flor,Melo,Feminino,126.579.830-30,18,04,Impressora,1,800.0,800.0,80.0,Peixoto,AC,Brasil,2024-07-03,Especie
83,Elisa,Siqueira,Feminino,483.169.702-87,54,07,Mouse,3,80.0,240.0,24.0,Nogueira de Fonseca,DF,Brasil,2024-12-01,Especie
84,Isabelly,Moura,Feminino,295.483.160-05,46,06,Teclado,3,200.0,600.0,60.0,Costa,PE,Brasil,2024-02-14,Credito
85,Arthur Gabriel,Cardoso,Masculino,893.457.120-97,19,03,Tablet,3,3000.0,9000.0,900.0,Nunes,RO,Brasil,2024-08-24,PIX
86,Maria Liz,Viana,Feminino,132.697.045-34,47,08,HeadSet,3,250.0,750.0,75.0,Gonçalves das Pedras,PI,Brasil,2024-03-14,Credito
87,Eduardo,Vieira,Masculino,248.107.365-71,59,10,Suporte Monitor,3,150.0,450.0,45.0,Sá,AC,Brasil,2024-07-01,PIX
88,Ana Julia,Garcia,Feminino,846.593.017-10,48,09,Cadeira Gamer,1,900.0,900.0,90.0,Sá de Cavalcante,SE,Brasil,2024-02-08,Debito
89,Letícia,Cavalcante,Feminino,374.265.809-38,58,01,Notebook,3,3500.0,10500.0,1050.0,Fogaça Paulista,MA,Brasil,2024-05-23,Especie
90,Benício,Pimenta,Masculino,328.154.607-26,21,08,HeadSet,2,250.0,500.0,50.0,Gonçalves,RR,Brasil,2024-08-06,Especie
91,Isabella,da Mata,Feminino,864.759.013-93,38,02,Smartphone,2,2000.0,4000.0,400.0,da Cunha Paulista,MA,Brasil,2024-09-25,Especie
92,Melissa,da Mata,Feminino,829.053.416-70,19,01,Notebook,3,3500.0,10500.0,1050.0,Costela,RS,Brasil,2024-10-24,Credito
93,Davi,da Costa,Masculino,387.056.291-95,40,04,Impressora,2,800.0,1600.0,160.0,Sales,MT,Brasil,2024-06-12,Debito
94,Rafaela,da Luz,Feminino,149.370.682-96,45,04,Impressora,2,800.0,1600.0,160.0,Viana do Sul,RJ,Brasil,2024-06-22,Especie
95,Rael,Peixoto,Masculino,817.632.450-71,52,06,Teclado,2,200.0,400.0,40.0,Azevedo,GO,Brasil,2024-03-01,Debito
96,Arthur Gabriel,Alves,Masculino,130.629.487-87,34,08,HeadSet,2,250.0,500.0,50.0,Moura de Albuquerque,AP,Brasil,2024-12-29,Credito
97,Maria Luiza,Pinto,Feminino,905.286.134-05,21,10,Suporte Monitor,1,150.0,150.0,15.0,Novaes,AC,Brasil,2024-10-27,PIX
98,Matheus,Almeida,Masculino,068.175.924-02,52,06,Teclado,3,200.0,600.0,60.0,Correia do Norte,ES,Brasil,2024-10-14,PIX
99,Alícia,Novaes,Feminino,794.308.261-31,39,07,Mouse,2,80.0,160.0,16.0,Araújo do Galho,AC,Brasil,2024-03-18,PIX
100,Léo,Jesus,Masculino,590.832.641-06,47,05,Monitor,3,950.0,2850.0,285.0,Melo,GO,Brasil,2024-01-20,Debito
101,Rodrigo,Ramos,Masculino,845.197.326-46,22,01,Notebook,2,3500.0,7000.0,700.0,Pires,MT,Brasil,2024-03-06,Especie
102,Liz,Rezende,Feminino,526.491.380-33,55,05,Monitor,3,950.0,2850.0,285.0,da Luz de Rocha,RR,Brasil,2024-10-21,Credito
103,Juliana,Monteiro,Feminino,790.354.681-39,51,05,Monitor,2,950.0,1900.0,190.0,Correia,PB,Brasil,2024-01-11,PIX
104,Ana Cecília,Pastor,Feminino,421.386.759-55,58,02,Smartphone,1,2000.0,2000.0,200.0,Azevedo,RS,Brasil,2024-07-15,Credito
105,Pedro Miguel,Nunes,Masculino,957.642.813-00,33,02,Smartphone,1,2000.0,2000.0,200.0,Ferreira Alegre,PB,Brasil,2024-12-01,PIX
106,Mariah,Gonçalves,Feminino,326.107.549-06,52,04,Impressora,3,800.0,2400.0,240.0,Moraes das Flores,PR,Brasil,2024-12-29,Debito
107,Helena,Costela,Feminino,294.501.687-76,40,03,Tablet,3,3000.0,9000.0,900.0,da Paz de Silva,RJ,Brasil,2024-06-08,Credito
108,Murilo,Sales,Masculino,410.683.952-06,37,01,Notebook,1,3500.0,3500.0,350.0,Castro,PA,Brasil,2024-08-12,PIX
109,Léo,da Cunha,Masculino,637.048.159-93,28,04,Impressora,2,800.0,1600.0,160.0,Casa Grande,CE,Brasil,2024-08-28,PIX
110,Lucas,Monteiro,Masculino,130.562.497-16,52,10,Suporte Monitor,3,150.0,450.0,45.0,Garcia do Galho,MS,Brasil,2024-08-19,Credito
111,Eloá,Carvalho,Feminino,764.038.291-22,34,10,Suporte Monitor,3,150.0,450.0,45.0,Sá de Rios,AM,Brasil,2024-06-21,PIX
112,José Miguel,Pastor,Masculino,096.245.813-98,43,01,Notebook,3,3500.0,10500.0,1050.0,Guerra,PI,Brasil,2024-06-12,Credito
113,Beatriz,Gomes,Feminino,129.745.380-88,51,04,Impressora,1,800.0,800.0,80.0,Gonçalves do Galho,TO,Brasil,2024-08-16,PIX
114,Lucca,Caldeira,Masculino,726.158.039-21,49,05,Monitor,2,950.0,1900.0,190.0,Garcia,MT,Brasil,2024-03-08,Debito
115,Léo,Santos,Masculino,183.590.267-77,35,07,Mouse,3,80.0,240.0,24.0,Lima,PB,Brasil,2024-09-12,Debito
116,Henry Gabriel,Azevedo,Masculino,938.702.615-95,26,03,Tablet,2,3000.0,6000.0,600.0,Pimenta,PB,Brasil,2024-06-18,Debito
117,Maria Isis,Fernandes,Feminino,408.963.712-04,47,04,Impressora,2,800.0,1600.0,160.0,Gonçalves,SC,Brasil,2024-01-16,Credito
118,Manuella,Rodrigues,Feminino,732.489.051-23,21,07,Mouse,3,80.0,240.0,24.0,Santos de Rios,ES,Brasil,2024-07-06,Debito
119,Maria,Ramos,Feminino,136.759.408-10,52,07,Mouse,1,80.0,80.0,8.0,Pereira,AC,Brasil,2024-03-27,Debito
120,Maria Cecília,Pacheco,Feminino,432.976.051-70,39,02,Smartphone,1,2000.0,2000.0,200.0,Mendonça,PA,Brasil,2024-09-24,PIX
121,Arthur Gabriel,Abreu,Masculino,708.629.451-94,39,08,HeadSet,2,250.0,500.0,50.0,da Mata Verde,PI,Brasil,2024-01-13,Debito
122,Marina,Freitas,Feminino,758.024.391-14,57,05,Monitor,2,950.0,1900.0,190.0,Sales de Minas,AP,Brasil,2024-05-08,Debito
123,Pietro,Borges,Masculino,408.631.952-70,46,09,Cadeira Gamer,1,900.0,900.0,90.0,Freitas de da Cunha,RN,Brasil,2024-10-09,Debito
124,Catarina,Martins,Feminino,674.983.102-87,42,07,Mouse,3,80.0,240.0,24.0,Rodrigues das Flores,MS,Brasil,2024-02-10,Debito
125,Lavínia,Vasconcelos,Feminino,673.015.948-01,20,04,Impressora,2,800.0,1600.0,160.0,Pimenta,MA,Brasil,2024-01-30,Credito
126,Natália,Alves,Feminino,378.240.651-62,19,05,Monitor,1,950.0,950.0,95.0,da Costa das Pedras,CE,Brasil,2024-05-21,Credito
127,Matheus,Castro,Masculino,369.845.217-00,42,02,Smartphone,3,2000.0,6000.0,600.0,da Costa,RO,Brasil,2024-03-14,Credito
128,André,Andrade,Masculino,796.421.385-73,32,02,Smartphone,3,2000.0,6000.0,600.0,Câmara,SE,Brasil,2024-02-01,Especie
129,Lorena,da Rocha,Feminino,475.283.901-60,57,04,Impressora,3,800.0,2400.0,240.0,Pimenta do Oeste,RR,Brasil,2024-08-04,Debito
130,Isadora,Sá,Feminino,372.541.860-80,54,02,Smartphone,1,2000.0,2000.0,200.0,Leão Grande,RO,Brasil,2024-07-06,PIX
131,Milena,Sales,Feminino,638.419.075-39,34,10,Suporte Monitor,3,150.0,450.0,45.0,Barros Verde,CE,Brasil,2024-03-01,Especie
132,Danilo,Rios,Masculino,021.893.674-50,43,09,Cadeira Gamer,3,900.0,2700.0,270.0,Cavalcante,RR,Brasil,2024-08-15,Debito
133,Joana,Pimenta,Feminino,093.651.487-66,26,05,Monitor,1,950.0,950.0,95.0,Pimenta,SC,Brasil,2024-10-21,PIX
134,Mariane,Moura,Feminino,015.697.482-76,19,05,Monitor,3,950.0,2850.0,285.0,Oliveira dos Dourados,MG,Brasil,2024-10-12,Especie
135,Breno,Rezende,Masculino,097.318.426-40,30,08,HeadSet,3,250.0,750.0,75.0,Cunha,GO,Brasil,2024-05-02,Debito
136,Cauã,da Conceição,Masculino,284.906.513-70,48,08,HeadSet,3,250.0,750.0,75.0,Sampaio de Sousa,RN,Brasil,2024-09-07,Especie
137,Alana,Guerra,Feminino,129.638.745-37,38,02,Smartphone,1,2000.0,2000.0,200.0,Pimenta,SE,Brasil,2024-05-08,PIX
138,Lucas,Carvalho,Masculino,279.346.158-09,34,09,Cadeira Gamer,2,900.0,1800.0,180.0,da Costa do Oeste,RN,Brasil,2024-08-16,PIX
139,Liz,Rezende,Feminino,016.749.238-13,20,08,HeadSet,2,250.0,500.0,50.0,Machado,CE,Brasil,2024-06-24,Especie
140,Luna,Jesus,Feminino,145.873.029-88,60,07,Mouse,3,80.0,240.0,24.0,Sousa,AM,Brasil,2024-02-14,Debito
141,Luiz Fernando,Camargo,Masculino,130.587.692-02,40,07,Mouse,2,80.0,160.0,16.0,Abreu,RJ,Brasil,2024-09-09,Debito
142,Isaac,Moura,Masculino,683.941.725-55,37,08,HeadSet,2,250.0,500.0,50.0,Guerra do Amparo,SP,Brasil,2024-12-08,Credito
143,Benicio,Pastor,Masculino,982.163.540-70,37,02,Smartphone,2,2000.0,4000.0,400.0,Cavalcanti,PA,Brasil,2024-12-24,PIX
144,Erick,Santos,Masculino,714.602.359-16,45,04,Impressora,3,800.0,2400.0,240.0,da Rocha,MA,Brasil,2024-11-22,Debito
145,Ayla,Vieira,Feminino,201.483.657-44,32,06,Teclado,2,200.0,400.0,40.0,Ferreira,BA,Brasil,2024-12-09,Debito
146,Lucas Gabriel,Borges,Masculino,673.214.850-80,22,07,Mouse,2,80.0,160.0,16.0,Vasconcelos Alegre,SE,Brasil,2024-08-09,PIX
147,Gael Henrique,Nunes,Masculino,021.759.468-94,35,07,Mouse,1,80.0,80.0,8.0,Pimenta,SP,Brasil,2024-04-20,Debito
148,Natália,Moraes,Feminino,140.785.326-08,30,02,Smartphone,1,2000.0,2000.0,200.0,da Conceição,PR,Brasil,2024-04-06,PIX
149,Eloah,Sales,Feminino,742.918.635-19,21,02,Smartphone,3,2000.0,6000.0,600.0,Carvalho,AC,Brasil,2024-09-30,PIX
150,Benicio,Jesus,Masculino,539.671.042-06,51,06,Teclado,1,200.0,200.0,20.0,Costa,PR,Brasil,2024-10-10,Credito
151,Diego,Pimenta,Masculino,972.041.368-96,42,08,HeadSet,3,250.0,750.0,75.0,Fogaça,RO,Brasil,2024-09-16,Credito
152,Julia,Azevedo,Feminino,074.623.815-08,56,03,Tablet,3,3000.0,9000.0,900.0,Machado,GO,Brasil,2024-10-29,Credito
153,Liam,Barros,Masculino,180.569.234-89,21,05,Monitor,2,950.0,1900.0,190.0,Abreu de Cavalcante,PA,Brasil,2024-12-16,Debito
154,Lara,Cavalcanti,Feminino,240.536.918-42,24,01,Notebook,3,3500.0,10500.0,1050.0,Cassiano de Minas,PI,Brasil,2024-09-22,Credito
155,Maria Helena,Ferreira,Feminino,368.572.491-64,25,09,Cadeira Gamer,2,900.0,1800.0,180.0,Souza do Campo,RO,Brasil,2024-06-20,PIX
156,Ana Cecília,Sampaio,Feminino,486.097.513-84,34,05,Monitor,2,950.0,1900.0,190.0,Sampaio das Flores,SP,Brasil,2024-06-06,PIX
157,Davi Lucas,Jesus,Masculino,408.152.973-60,51,03,Tablet,3,3000.0,9000.0,900.0,Garcia Grande,RS,Brasil,2024-06-12,Credito
158,Daniel,Almeida,Masculino,508.946.132-51,58,02,Smartphone,3,2000.0,6000.0,600.0,Marques,PR,Brasil,2024-05-15,Debito
159,Alícia,Nogueira,Feminino,153.907.846-93,51,08,HeadSet,2,250.0,500.0,50.0,Aparecida do Sul,TO,Brasil,2024-09-09,PIX
160,Isabella,Correia,Feminino,175.402.896-94,59,04,Impressora,3,800.0,2400.0,240.0,Albuquerque do Campo,RR,Brasil,2024-04-22,PIX
161,Manuela,Andrade,Feminino,693.017.458-01,29,03,Tablet,2,3000.0,6000.0,600.0,Moraes,RO,Brasil,2024-05-17,Debito
162,Antônio,Cirino,Masculino,302.849.176-13,41,09,Cadeira Gamer,3,900.0,2700.0,270.0,Moreira,RS,Brasil,2024-08-25,Credito
163,Felipe,Porto,Masculino,576.013.294-61,29,02,Smartphone,1,2000.0,2000.0,200.0,da Cunha,MG,Brasil,2024-04-01,Especie
164,Davi Lucas,Almeida,Masculino,425.098.736-10,25,03,Tablet,3,3000.0,9000.0,900.0,Barros,RN,Brasil,2024-10-01,Credito
165,Ana Cecília,da Cruz,Feminino,934.206.517-16,59,06,Teclado,2,200.0,400.0,40.0,Melo do Galho,ES,Brasil,2024-01-11,PIX
166,Ana Beatriz,da Luz,Feminino,563.108.794-48,45,06,Teclado,2,200.0,400.0,40.0,Borges do Norte,PR,Brasil,2024-11-26,Especie
167,Joaquim,Duarte,Masculino,369.270.184-50,37,05,Monitor,2,950.0,1900.0,190.0,Aparecida da Praia,RR,Brasil,2024-12-15,Debito
168,Davi Lucas,Caldeira,Masculino,167.903.285-21,20,04,Impressora,1,800.0,800.0,80.0,Cardoso,MA,Brasil,2024-04-26,PIX
169,Bianca,Correia,Feminino,786.150.423-90,57,03,Tablet,2,3000.0,6000.0,600.0,Ribeiro das Flores,MG,Brasil,2024-12-20,Debito
170,Anthony Gabriel,da Mota,Masculino,183.609.572-40,46,06,Teclado,3,200.0,600.0,60.0,Costa,RR,Brasil,2024-07-06,Debito
171,Alícia,Souza,Feminino,895.742.631-00,46,05,Monitor,2,950.0,1900.0,190.0,Santos,ES,Brasil,2024-07-25,Credito
172,Liam,Gonçalves,Masculino,281.056.349-70,31,04,Impressora,3,800.0,2400.0,240.0,Siqueira do Oeste,MG,Brasil,2024-12-03,Especie
173,Benicio,Marques,Masculino,439.058.617-39,60,04,Impressora,1,800.0,800.0,80.0,Farias,AP,Brasil,2024-01-16,PIX
174,Lavínia,Carvalho,Feminino,985.402.371-05,38,01,Notebook,3,3500.0,10500.0,1050.0,Teixeira do Amparo,TO,Brasil,2024-05-22,Debito
175,João Felipe,Teixeira,Masculino,609.378.124-04,56,08,HeadSet,2,250.0,500.0,50.0,Sampaio,SC,Brasil,2024-02-08,Credito
176,Daniela,Moreira,Feminino,290.713.856-12,26,04,Impressora,3,800.0,2400.0,240.0,Borges da Serra,CE,Brasil,2024-03-29,Especie
177,Amanda,Caldeira,Feminino,714.608.259-85,38,03,Tablet,3,3000.0,9000.0,900.0,Rios da Serra,MT,Brasil,2024-07-05,PIX
178,Antônio,Castro,Masculino,941.865.072-01,57,10,Suporte Monitor,2,150.0,300.0,30.0,Moraes de Goiás,PB,Brasil,2024-11-18,Especie
